title,published_at,channel_title,duration,view_count,like_count,comment_count,category
ImDOntai Reacts To The AMP Freshman Cypher 2024,2024-07-30 04:51:49+00:00,ImStillDontai,PT19M21S,901065,45281,1211,People & Blogs
NRL 2024 | Panthers v Dolphins | Match Highlights,2024-07-21 06:17:27+00:00,NRL - National Rugby League,PT4M51S,195714,2368,227,Sports
Billie Eilish – WILDFLOWER (Live Performance from Amazon Music’s Songline),2024-07-29 16:00:57+00:00,Billie Eilish,PT4M48S,3046227,216201,7796,Music
Druski 'No More Social Media' feat. Kairo Keyz (Official Music Video),2024-07-31 20:00:06+00:00,Druski,PT1M41S,486667,25755,1593,Comedy
Moneybagg Yo Opens Up About His Relationship & Life During an Intense Lie Detector Test..,2024-07-30 02:30:19+00:00,Open Thoughts,PT35M8S,445398,10007,890,Entertainment
Paris Olympics organisers apologise for opening ceremony's unintentional Last Supper parody,2024-07-28 14:39:39+00:00,Guardian Sport,PT1M24S,3371871,7025,9971,Sports
THIS is why I STOPPED posting videos!!!,2024-07-30 14:00:51+00:00,Al Bladez,PT33M36S,486397,46662,4544,People & Blogs
Katie Ledecky Wins Gold With Over 10 Second Lead and Sets New Olympic Record | Paris Olympics,2024-07-31 23:00:29+00:00,Peacock,PT6M9S,264877,2461,190,Sports
9 Girls Choose His Perfect Match,2024-07-29 20:08:54+00:00,David Alvareeezy,PT55M59S,791763,23941,1674,Comedy
How to SAVE Death Battle!,2024-07-30 14:00:06+00:00,DEATH BATTLE!,PT3M59S,423672,41281,4982,Entertainment
The Last Pokémon Meme Review (here),2024-07-30 12:15:03+00:00,MandJTV,PT23M16S,590222,36303,3169,Gaming
ENHYPEN (엔하이픈) 'Brought The Heat Back' Official MV,2024-07-31 15:00:01+00:00,HYBE LABELS,PT3M12S,3021289,486794,33801,Music
Marvel Rivals,2024-07-29 19:30:02+00:00,videogamedunkey,PT3M46S,1738928,88111,2583,Gaming
"Minecraft, But Anything You Build Comes to Life",2024-07-30 12:00:53+00:00,Skiddzie,PT22M32S,476714,8506,530,Gaming
