title,published_at,channel_title,duration,view_count,like_count,comment_count,category,duration_seconds,duration_range,publish_hour,publish_day_of_week,publish_minute,publish_time
"Stray Kids ""Chk Chk Boom"" M/V",2024-07-19 04:00:00+00:00,JYP Entertainment,PT3M26S,65782723,2423264,309763,Music,206.0,0-5 min,4,Friday,0,4.0
火星進雙子，12星座場面大在哪| 2024/7/18直播,2024-07-19 11:56:54+00:00,唐綺陽官方專屬頻道,PT2H25M58S,244317,4028,535,Science & Technology,8758.0,> 120 min,11,Friday,56,11.933333333333334
When David Goggins Climbed Mount Everest in One Day⛰️  | #shorts #joerogan,2024-07-19 13:00:23+00:00,Unchained Clips,PT33S,4025593,218385,647,Sports,33.0,0-5 min,13,Friday,0,13.0
Rate This Smartphone Cooler Set-up ⭐,2024-07-19 13:20:00+00:00,Shakeuptech,PT10S,6350589,167092,1913,Science & Technology,10.0,0-5 min,13,Friday,20,13.333333333333334
New Footage of Trump’s Shooter and Blackrock’s Jew CEO Goes Viral,2024-07-19 14:11:13+00:00,King Luxury,PT21M40S,5341798,100218,21721,News & Politics,1300.0,20-60 min,14,Friday,11,14.183333333333334
Worst Mechanic In ALL The Land!   #mechanic #tools #cars,2024-07-19 15:34:20+00:00,Chris Garage78,PT14S,10688130,291686,7140,Autos & Vehicles,14.0,0-5 min,15,Friday,34,15.566666666666666
"Murder suspect accidentally let out of jail, turns himself in hours later",2024-07-19 16:00:36+00:00,WBRZ,PT1M,576564,19786,356,News & Politics,60.0,0-5 min,16,Friday,0,16.0
i love being a puppeteer 😂 #ERIC #Netflix #Puppet #Puppetry #BehindTheScenes #filmmaking,2024-07-19 16:55:10+00:00,Beccy Henderson,PT15S,18234179,1210065,5181,Film & Animation,15.0,0-5 min,16,Friday,55,16.916666666666668
“Watch how fast I catch up”🤦‍♂️🤣😂 #automobile #cars #car #nyce1s #police #ford #policecar #racing,2024-07-19 19:09:38+00:00,nyce1s,PT18S,4819139,281388,11833,Autos & Vehicles,18.0,0-5 min,19,Friday,9,19.15
Así se comprueba que el alternador este bueno #trucks #trailers #mecanicos #mecanica #camion,2024-07-19 23:20:00+00:00,Camiones A Fondo,PT14S,2323301,27024,122,Autos & Vehicles,14.0,0-5 min,23,Friday,20,23.333333333333332
Too much power for a young kid to control it? #hellcat #srt #carcommunity,2024-07-20 00:17:56+00:00,DriftFun,PT11S,9012536,311621,6045,Autos & Vehicles,11.0,0-5 min,0,Saturday,17,0.2833333333333333
AMAZING trickshot point! 😱,2024-07-20 12:00:32+00:00,Australian Open TV,PT39S,26224569,1179038,1336,Sports,39.0,0-5 min,12,Saturday,0,12.0
Competição de Low kicks #competition #chutes #pernas #kickboxing #karate,2024-07-20 15:20:18+00:00,BJJ Techniques and News,PT43S,15936500,431824,7130,Sports,43.0,0-5 min,15,Saturday,20,15.333333333333334
Toyota truck ￼You can't see torque! #toyota  #truck,2024-07-20 16:05:45+00:00,Moparcrazyexotic,PT10S,2497574,84633,3062,Autos & Vehicles,10.0,0-5 min,16,Saturday,5,16.083333333333332
Shaq Shares Funny Story with Jon Jones 🤣,2024-07-20 16:53:28+00:00,BoxingChicken,PT27S,10279836,527951,2399,Sports,27.0,0-5 min,16,Saturday,53,16.883333333333333
Nvidia Has A Very Unique Problem #funfact,2024-07-20 17:00:16+00:00,Doug Sharpe,PT1M,4184987,317076,2927,Science & Technology,60.0,0-5 min,17,Saturday,0,17.0
Xbox Game Pass on Amazon Fire Stick? 🤨,2024-07-20 17:54:36+00:00,Garett,PT41S,1240734,0,2251,Science & Technology,41.0,0-5 min,17,Saturday,54,17.9
Bike trick and Bro's aura...,2024-07-20 18:00:02+00:00,Banza Edits,PT11S,10685358,0,3925,Autos & Vehicles,11.0,0-5 min,18,Saturday,0,18.0
Adorable Prankster,2024-07-20 19:00:19+00:00,Kind Up,PT15S,17304667,614692,1041,Entertainment,15.0,0-5 min,19,Saturday,0,19.0
Uninstall College Football 25,2024-07-20 20:51:47+00:00,MMG,PT36S,2508264,202392,789,Sports,36.0,0-5 min,20,Saturday,51,20.85
I was napping good too 🥱 #trucking #truckertiktok #femaletrucker #peterbilt #fyp #dashcam,2024-07-20 21:09:03+00:00,Usa Trucking ,PT1M,4178333,208276,1402,Autos & Vehicles,60.0,0-5 min,21,Saturday,9,21.15
Ferveu o Ki Suco na PR423 entre Araucária e Campo Largo. #automobile #cidadedearaucaria #noticias,2024-07-20 21:16:29+00:00,Canal Araucity,PT1M,5184301,157327,4809,Autos & Vehicles,60.0,0-5 min,21,Saturday,16,21.266666666666666
"SOUTH SUDAN vs USA | USAB SHOWCASE | FULL GAME HIGHLIGHTS | July 20, 2024",2024-07-20 21:50:43+00:00,NBA,PT12M15S,7268739,95149,15236,Sports,735.0,10-20 min,21,Saturday,50,21.833333333333332
This Tire Loader Has Unbelievable Skills! 👏,2024-07-20 23:22:21+00:00,Infinitix,PT21S,7099047,88432,1710,Autos & Vehicles,21.0,0-5 min,23,Saturday,22,23.366666666666667
Trump invites auto worker on stage to address Michigan rally crowd LIVE,2024-07-20 23:28:28+00:00,WWMT-TV,PT56S,3037806,175105,3607,News & Politics,56.0,0-5 min,23,Saturday,28,23.466666666666665
Differential Repair #broken #car #cars #asmr #automobile #diy #mechanic #mechanic #repair #ford,2024-07-20 23:30:11+00:00,Mr. V,PT58S,36935708,692194,2062,Autos & Vehicles,58.0,0-5 min,23,Saturday,30,23.5
Apple FINALLY Did It.... 👀,2024-07-21 01:23:55+00:00,Will Bowers,PT42S,1001333,57945,371,Science & Technology,42.0,0-5 min,1,Sunday,23,1.3833333333333333
Thoughts? #funny #memes #meme #funnymemes #lol #dankmemes #comedy #fun #love #memesdaily #follow,2024-07-21 02:08:09+00:00,Sallie-Grace ,PT13S,8067764,349852,16001,Film & Animation,13.0,0-5 min,2,Sunday,8,2.1333333333333333
[Part 1]The doctors had to save only one people from the two who were pierced by a metal rod #shorts,2024-07-21 04:14:01+00:00,Movie Machine,PT1M,16134681,1198366,2506,Film & Animation,60.0,0-5 min,4,Sunday,14,4.233333333333333
NRL 2024 | Panthers v Dolphins | Match Highlights,2024-07-21 06:17:27+00:00,NRL - National Rugby League,PT4M51S,195714,2368,227,Sports,291.0,0-5 min,6,Sunday,17,6.283333333333333
Stay away from these bikes,2024-07-21 06:31:41+00:00,ThoughTaken,PT25S,2895404,219198,1014,Autos & Vehicles,25.0,0-5 min,6,Sunday,31,6.516666666666667
"DCS Deep Cycle Systems Defamation [Update 2] | "" We don't sue anyone for reviews""",2024-07-21 07:15:21+00:00,AllOffroad 4x4 Adventures TV,PT5M30S,110464,13266,23,Science & Technology,330.0,5-10 min,7,Sunday,15,7.25
Family Dollar Smartphones?: Let’s Explore!,2024-07-21 13:30:13+00:00,jOhnZoid,PT15M30S,232352,7063,952,Science & Technology,930.0,10-20 min,13,Sunday,30,13.5
Faith in Humanity restored #shorts #superman #starman #wholesome #memes,2024-07-21 15:30:15+00:00,Mr Slash,PT25S,33560598,1971017,11369,Film & Animation,25.0,0-5 min,15,Sunday,30,15.5
Guy CRASHES While Singing 😂 w/ Shane Gillis,2024-07-21 15:44:54+00:00,Fire,PT31S,12116677,559301,3903,Film & Animation,31.0,0-5 min,15,Sunday,44,15.733333333333333
Lion feeding session🦁 #lion #deanschneider #bigcat,2024-07-21 17:16:11+00:00,Dean Schneider,PT46S,6721834,420441,5147,Film & Animation,46.0,0-5 min,17,Sunday,16,17.266666666666666
Killer Realizes Victim Solved Her Own Murder,2024-07-21 17:45:21+00:00,EWU Crime Storytime,PT46M19S,3187453,48018,6449,News & Politics,2779.0,20-60 min,17,Sunday,45,17.75
"""You're Only Made of Moonlight 🌑 - Gerlad's Game (2017)"" #youtubeshorts",2024-07-21 18:15:02+00:00,ParkourTales,PT59S,22577477,955510,3667,Film & Animation,59.0,0-5 min,18,Sunday,15,18.25
THIS GUY DESERVES RESPECT! He Refused to Fight to Save his Opponent #mmafighting #mma #respectsport,2024-07-21 19:15:01+00:00,NKS MMA,PT59S,10857941,656548,8016,Sports,59.0,0-5 min,19,Sunday,15,19.25
This Guy Acted Smartly to Lift The Tires,2024-07-21 20:17:00+00:00,Sara's Creative Home,PT22S,4566307,34885,143,Autos & Vehicles,22.0,0-5 min,20,Sunday,17,20.283333333333335
#Fixit #perfect תיקון אייפון 10,2024-07-21 21:01:46+00:00,Tamar DB (mt),PT1M1S,8372793,193354,1196,Science & Technology,61.0,0-5 min,21,Sunday,1,21.016666666666666
Nissan GTR Goes Airborne Onto A Roundabout #dashcam #badaccident #NissanGTR,2024-07-21 22:00:01+00:00,Cars Daily,PT20S,4158843,200554,2715,Autos & Vehicles,20.0,0-5 min,22,Sunday,0,22.0
Kai Cenat and iShowSpeed Chain Together⛓️,2024-07-21 22:56:18+00:00,Speed Kai Clip,PT17S,22081536,1077608,2934,Film & Animation,17.0,0-5 min,22,Sunday,56,22.933333333333334
#offset dream car he’ll never buy!! #buggati #rollsroyce,2024-07-22 00:05:57+00:00,ICARUS,PT25S,2050765,114029,486,Autos & Vehicles,25.0,0-5 min,0,Monday,5,0.08333333333333333
Tank Slapper EXPLAINED,2024-07-22 02:00:49+00:00,Jasper Storm,PT25S,14269209,384698,1505,Autos & Vehicles,25.0,0-5 min,2,Monday,0,2.0
Жнива  #farming #agriculture #т25 #fendt #johndeere #newholland #т40 #мтз #юмз6 #юмз #claas,2024-07-22 10:10:37+00:00,Sash Dun,PT37S,25375160,611756,3610,Autos & Vehicles,37.0,0-5 min,10,Monday,10,10.166666666666666
把衣服變貴一點的裝置,2024-07-22 12:00:25+00:00,五件小事,PT20S,2923729,53798,610,Science & Technology,20.0,0-5 min,12,Monday,0,12.0
That man is not my papaw!,2024-07-22 14:16:01+00:00,Shane Profitt,PT1M1S,5775076,358911,4049,Entertainment,61.0,0-5 min,14,Monday,16,14.266666666666667
Strangest Things Bikers Do,2024-07-22 15:19:45+00:00,Moto Boys,PT36S,3921789,145550,89,Autos & Vehicles,36.0,0-5 min,15,Monday,19,15.316666666666666
That one friend who drives a Dodge 😂,2024-07-22 15:22:21+00:00,OTTO Insurance,PT14S,1274195,18208,321,Autos & Vehicles,14.0,0-5 min,15,Monday,22,15.366666666666667
This Guy Took Game Seriously,2024-07-22 15:33:51+00:00,kaiV2,PT23S,15111042,289882,357,Sports,23.0,0-5 min,15,Monday,33,15.55
Nick Diaz's Genius Fight IQ,2024-07-22 16:46:05+00:00,CageClassics,PT51S,1697744,94067,880,Sports,51.0,0-5 min,16,Monday,46,16.766666666666666
DO THIS ON YOUR ROKU NOW! (NEW UPDATE) 2024!,2024-07-22 17:30:07+00:00,Doc Squiffy,PT5M44S,261846,5702,116,Science & Technology,344.0,5-10 min,17,Monday,30,17.5
Olympic Swimmer That COULDN'T Swim,2024-07-22 18:30:02+00:00,TheFeedski,PT58S,2976097,204674,787,Sports,58.0,0-5 min,18,Monday,30,18.5
#ronaldo X #messi #fifa world cup#football#cr7#neymar#shorts#viral#viralshorts#foryou#foryourpage,2024-07-22 18:34:26+00:00,DDG STARLIVE ,PT20S,7755200,472871,3682,Sports,20.0,0-5 min,18,Monday,34,18.566666666666666
Amplificador de Temu #subwoofer #diy #automobile #temu #wdx #humor,2024-07-22 19:00:05+00:00,JuniorXG35,PT1M1S,548563,11647,369,Science & Technology,61.0,0-5 min,19,Monday,0,19.0
Farmer's Golf  #Hornussen,2024-07-22 21:00:21+00:00,BuzzPulse,PT43S,5550325,151375,667,Sports,43.0,0-5 min,21,Monday,0,21.0
"USA vs GERMANY | USAB SHOWCASE | FULL GAME HIGHLIGHTS | July 22, 2024",2024-07-22 21:19:17+00:00,NBA,PT14M9S,8680873,110217,12528,Sports,849.0,10-20 min,21,Monday,19,21.316666666666666
He really thought a dual clutch was a manual,2024-07-22 21:21:23+00:00,Jake Schnatter,PT1M,1989473,124571,534,Autos & Vehicles,60.0,0-5 min,21,Monday,21,21.35
Tucker Carlson and Jack Posobiec React to the Trump Shooting and the Coup Against Biden,2024-07-22 22:18:53+00:00,Tucker Carlson,PT2H12M26S,2493255,101662,15435,News & Politics,7946.0,> 120 min,22,Monday,18,22.3
KETCHUP CHALLENGE #shorts,2024-07-22 22:52:00+00:00,Brotherofcolor,PT1M,32582493,1615253,16352,Entertainment,60.0,0-5 min,22,Monday,52,22.866666666666667
